Age,Own.Home,Sex,Children,Income,Smallest.Gift,Largest.Gift,Current.Gift,Other.Gifts,Time.Between.Gifts
64,H,F,0,1,3,300,200,0,3
91,U,M,0,1,25,50,200,1,13
82,H,M,0,5,2,250,200,42,6
61,H,F,0,1,20,25,200,0,5
71,U,M,0,5,25,25,150,2,5
90,U,F,0,1,5,133,102,0,5
57,H,F,0,1,25,100,101,0,3
38,U,F,0,7,50,50,100,0,9
43,H,M,0,6,200,200,100,7,10
79,U,M,0,1,10,50,100,0,13
81,H,F,0,6,5,100,100,0,10
50,H,M,0,1,10,100,100,0,7
73,H,M,0,4,2,100,100,7,12
48,U,F,0,2,20,100,100,0,18
83,U,F,0,5,10,16,100,0,24
90,U,F,0,1,5,75,100,0,3
42,U,M,0,3,20,32,100,0,8
61,U,M,0,1,3,100,100,0,21
69,H,M,0,7,5,30,100,0,7
61,U,M,0,1,50,50,100,0,7
48,H,M,0,6,25,200,100,37,6
62,H,M,0,1,25,30,100,0,6
82,U,F,0,2,15,200,100,61,14
66,H,M,0,5,43,50,100,6,10
74,H,M,0,2,5,100,100,13,10
62,H,M,0,5,3,25,100,14,3
56,H,F,0,7,25,100,100,2,0
54,H,F,0,4,25,25,100,4,11
71,U,M,0,5,4,10,100,0,13
68,U,M,0,5,50,50,75,0,2
49,U,M,0,1,5,70,75,0,7
82,U,F,0,6,5,50,75,0,10
66,H,M,0,5,0,100,75,10,1
68,H,F,0,6,25,200,75,7,3
74,H,M,0,7,5,50,75,0,7
60,H,F,0,7,10,100,75,0,0
69,H,M,0,6,5,50,60,2,5
60,H,M,0,1,10,50,60,0,5
46,H,F,0,5,2,45,60,2,3
47,H,M,0,6,25,40,55,4,11
64,U,M,0,2,10,58,53,1,7
79,H,M,0,7,3,60,53,1,8
69,H,M,0,4,15,36,51,0,3
68,H,F,0,1,5,15,51,0,22
50,H,F,0,4,25,36,51,0,8
37,U,F,0,1,5,20,50,0,13
64,H,M,0,6,10,50,50,0,9
73,H,F,0,1,15,50,50,9,27
55,H,F,0,1,30,30,50,0,1
54,H,F,0,1,10,20,50,0,1
86,H,M,0,6,25,60,50,0,5
43,H,M,3,6,10,30,50,0,4
54,H,F,0,5,15,15,50,0,3
84,H,F,0,5,5,60,50,0,6
51,H,F,0,5,5,20,50,17,9
55,H,M,0,4,5,25,50,2,3
44,U,M,0,5,5,37,50,0,6
83,H,F,0,6,5,16,50,0,16
33,U,F,0,5,25,100,50,1,6
73,H,F,0,7,5,50,50,36,4
58,H,F,0,2,25,50,50,7,28
84,H,M,0,1,1,30,50,0,30
52,H,M,0,5,10,100,50,0,7
57,H,F,0,5,5,50,50,10,3
69,H,F,1,4,10,30,50,0,7
75,H,M,0,5,50,60,50,0,12
53,H,F,0,5,25,75,50,6,12
52,H,F,1,7,3,20,50,0,4
49,U,M,0,3,50,50,50,0,9
63,U,F,0,1,15,50,50,0,5
63,H,F,0,1,4,36,50,0,3
69,U,F,0,4,3,50,50,0,8
49,H,F,0,7,10,140,50,1,24
65,H,M,0,4,5,25,50,0,5
60,U,F,0,7,10,50,50,0,6
50,H,F,0,1,5,21,50,0,0
67,H,M,0,7,25,25,50,5,2
64,H,F,0,3,15,50,50,0,6
63,U,M,0,1,25,50,50,0,6
78,H,M,0,1,10,50,50,10,15
82,H,F,0,2,3,50,50,0,25
48,H,F,0,4,5,10,50,4,2
74,U,M,0,4,10,50,50,22,5
73,H,M,0,7,20,40,50,12,37
32,U,F,0,4,50,50,50,0,6
56,H,F,0,5,5,25,50,15,3
61,U,F,0,2,1.3,20,50,0,3
61,U,M,0,1,20,20,50,0,11
65,U,F,0,4,5,25,50,6,11
41,H,M,0,7,25,50,50,0,10
70,H,M,0,6,80,80,50,9,19
62,U,M,0,1,5,26,50,0,12
76,H,F,0,1,5,40,50,0,3
49,U,F,0,1,20,32,50,0,25
40,H,F,0,7,25,50,50,12,13
64,U,M,0,4,5,30,50,9,5
54,U,F,0,4,10,30,50,0,8
62,H,M,0,1,5,50,50,0,5
46,H,F,0,1,5,30,50,0,12
42,U,M,0,3,25,34,50,0,9
75,H,M,0,3,5,100,50,0,11
83,U,F,0,1,5,11,50,0,4
67,H,M,0,5,20,35,50,24,9
61,H,F,0,5,25,25,50,13,9
82,U,M,0,1,50,50,50,0,0
60,H,M,0,1,50,50,50,0,10
72,U,M,0,3,25,75,50,0,6
